Costs,Pain,Physical_Function,ST_sessions,Duration(w)
400.0,4.024000000000001,11.172,40.0,8.0
300.0,2.3999999999999995,6.800000000000001,7.0,12.0
320.0,5.728000000000001,12.4236,16.0,8.0
160.0,4.100000000000001,12.099999999999998,8.0,8.0
480.0,4.299999999999999,8.7,24.0,12.0
240.0,3.0999999999999988,3.3000000000000007,12.0,6.0
240.0,1.3899999999999988,2.990000000000009,16.0,16.0
240.0,1.709999999999999,6.620000000000012,16.0,16.0
350.0,1.84,1.3399999999999999,7.0,8.0
320.0,2.3000000000000003,1.72,16.0,8.0
170.0,0.8999999999999986,-1.0,13.0,12.0
440.0,2.9800000000000013,2.5400000000000005,24.0,12.0
400.0,2.84,6.080000000000001,20.0,10.0
400.0,0.6000000000000001,2.8,20.0,10.0
150.0,1.8699999999999999,3.5599999999999996,0.0,26.0
180.0,5.5,9.92,36.0,12.0
180.0,5.0,3.1,36.0,12.0
320.0,1.1428571428571432,5.4399999999999995,16.0,8.0
480.0,2.5,8.6,24.0,8.0
240.0,3.4000000000000004,17.3,24.0,8.0
720.0,-1.0,-1.0,36.0,12.0
525.0,0.3200000000000003,0.09999999999999787,7.0,12.0
525.0,2.3800000000000003,5.399999999999999,7.0,12.0
480.0,3.7,-4.8,24.0,12.0
300.0,1.3999999999999986,6.600000000000001,20.0,10.0
600.0,2.5999999999999996,9.2,40.0,20.0
1200.0,2.499999999999999,8.8,24.0,8.0
1800.0,1.799999999999999,8.400000000000002,24.0,8.0
120.0,3.0,10.099999999999998,1.0,24.0
120.0,2.900000000000001,9.2,0.0,24.0
480.0,5.130000000000001,17.88,24.0,8.0
